ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
77152b72-55d9-4891-9c0e-bfee9f86a4d8,2019-12-05T11:24:46.569Z,2019-12-05T12:03:25.000Z,sahargholamo90@gmail.com,On-street parking,45.497065,9.177406,8,5038185,513860,32T,On-street parking,2.27,,77152b72-55d9-4891-9c0e-bfee9f86a4d8_1575545080.jpg
58cb8b04-2781-43f2-ad77-4aed26a756ee,2019-12-05T11:23:39.307Z,2019-12-05T12:03:24.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.497053,9.177436,12,5038184,513863,32T,Width of sidewalk,3.72,,
3737fbfd-fdae-4bc8-8ebf-b650be62b3ab,2019-12-05T11:16:53.316Z,2019-12-05T12:03:22.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.498279,9.175926,4,5038320,513744,32T,Width of sidewalk,3,,
27410e83-f6fc-4541-82e9-59920d09586a,2019-12-05T11:14:03.696Z,2019-12-05T12:03:21.000Z,sahargholamo90@gmail.com,On-street parking,45.499493,9.175733,6,5038455,513729,32T,On-street parking,2.1,,
8edfa28c-194a-4570-bae4-84d9dcc898e2,2019-12-05T11:13:23.414Z,2019-12-05T12:03:20.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499521,9.175722,6,5038458,513728,32T,Width of sidewalk,3,,
0cb147a7-d40c-4da7-8e4c-099da525d661,2019-12-05T11:10:11.291Z,2019-12-05T12:03:18.000Z,sahargholamo90@gmail.com,On-street parking,45.500418,9.175725,11,5038557,513728,32T,On-street parking,1.95,,
1a5c3a16-17db-47b0-bd91-7571471a87cb,2019-12-05T11:09:32.003Z,2019-12-05T12:03:17.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.500378,9.175862,11,5038553,513739,32T,Width of sidewalk,1.44,,
f8e2187a-e087-4028-ab50-096f1643406a,2019-12-05T11:07:03.619Z,2019-12-05T12:03:15.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499889,9.175727,14,5038499,513729,32T,Width of sidewalk,3.36,,
09abd02e-c896-4eab-9cf6-e1a57c2bfe17,2019-12-05T11:03:48.245Z,2019-12-05T12:03:14.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499737,9.175087,10,5038482,513679,32T,Width of sidewalk,1.57,,
81c3a57b-43b8-48c2-8f9a-b1b541620cf3,2019-12-05T11:03:13.581Z,2019-12-05T12:03:13.000Z,sahargholamo90@gmail.com,On-street parking,45.499711,9.175023,20,5038479,513674,32T,On-street parking,2.15,,
ca172991-adda-4f7c-9567-372f9d052603,2019-12-05T11:01:46.174Z,2019-12-05T12:03:11.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499652,9.174666,10,5038472,513646,32T,Width of sidewalk,2.1,,
49c4a83f-7347-44a6-af96-5c6044621d70,2019-12-05T10:59:58.977Z,2019-12-05T12:03:10.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499498,9.174446,18,5038455,513629,32T,Width of sidewalk,2.25,,
95278ca9-a761-4760-a063-8ba27badbfe8,2019-12-05T10:55:27.522Z,2019-12-05T12:03:08.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499027,9.174416,10,5038403,513626,32T,Width of sidewalk,3.1,,
d8b5bb4e-0555-41f6-aa95-e63238db0ba3,2019-12-05T10:53:24.386Z,2019-12-05T12:03:07.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.498958,9.173718,15,5038395,513572,32T,Width of sidewalk,1.17,,
06027c01-9126-4a3a-ad4c-a7a32306a30c,2019-12-05T10:50:18.119Z,2019-12-05T12:03:06.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.49815,9.173175,4,5038305,513530,32T,Width of sidewalk,1.96,,06027c01-9126-4a3a-ad4c-a7a32306a30c_1575543012.jpg
3f964d0d-3015-4fa1-849d-a8f9aecbcd3d,2019-12-05T10:47:06.297Z,2019-12-05T12:03:04.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.497675,9.173398,14,5038252,513547,32T,Width of sidewalk,0,Non walkable without pavement,3f964d0d-3015-4fa1-849d-a8f9aecbcd3d_1575542821.jpg
68202417-11b9-4634-a7a9-1a9b9a5c36bc,2019-12-05T10:40:24.391Z,2019-12-05T12:03:03.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.497242,9.174821,21,5038204,513658,32T,Width of sidewalk,3,,
aa86a105-faf5-4747-864c-549e7290e972,2019-12-05T10:35:10.271Z,2019-12-05T12:03:01.000Z,sahargholamo90@gmail.com,On-street parking,45.499934,9.174241,15,5038503,513612,32T,On-street parking,2.32,,
656a629b-5234-4255-a866-26cbd705b7d0,2019-12-05T10:34:30.205Z,2019-12-05T12:03:00.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.496511,9.174688,12,5038123,513648,32T,Width of sidewalk,3.55,,
37481d72-2aff-4814-9495-6012bc07b8c9,2019-12-05T10:28:17.375Z,2019-12-05T12:02:59.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.496801,9.172901,24,5038155,513508,32T,Width of sidewalk,3.5,,37481d72-2aff-4814-9495-6012bc07b8c9_1575541686.jpg
d29668a2-d936-4806-8723-aae9971d6243,2019-12-05T10:27:18.925Z,2019-12-05T12:02:57.000Z,sahargholamo90@gmail.com,On-street parking,45.496788,9.172867,13,5038154,513506,32T,On-street parking,2.35,,
9a06b8c4-733a-48f9-a38d-b04895116d2b,2019-12-05T10:20:40.305Z,2019-12-05T12:02:56.000Z,sahargholamo90@gmail.com,On-street parking,45.498097,9.172171,7,5038299,513451,32T,On-street parking,2.02,,
87b14f76-ce2c-4485-b21b-37597be86f63,2019-12-05T10:19:38.821Z,2019-12-05T12:02:54.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.498197,9.17204,9,5038310,513441,32T,Width of sidewalk,2.36,,87b14f76-ce2c-4485-b21b-37597be86f63_1575541175.jpg
8a875995-a0ba-48f2-9b06-476ba69820b8,2019-12-05T10:16:47.219Z,2019-12-05T12:02:53.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.499174,9.17162,18,5038419,513408,32T,Width of sidewalk,1.62,,
633bd093-9c23-4d6b-b0da-929715a4a94a,2019-12-05T10:13:43.093Z,2019-12-05T12:02:52.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.50006,9.171601,16,5038517,513406,32T,Width of sidewalk,2.24,,
79fd79de-88e9-45b3-9139-165f4ddf3141,2019-12-05T10:13:11.507Z,2019-12-05T12:02:50.000Z,sahargholamo90@gmail.com,On-street parking,45.500013,9.171499,12,5038512,513398,32T,On-street parking,2.02,,
f00fd2a2-993f-4249-9f1a-c7be0a0e3928,2019-12-05T10:11:27.373Z,2019-12-05T12:02:49.000Z,sahargholamo90@gmail.com,On-street parking,45.50047,9.171764,24,5038563,513419,32T,On-street parking,2.2,,
d4611a0f-4dc0-4f5e-862b-e909d104cad5,2019-12-05T10:08:24.886Z,2019-12-05T12:02:47.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.500725,9.174269,15,5038591,513614,32T,Width of sidewalk,1.12,,d4611a0f-4dc0-4f5e-862b-e909d104cad5_1575540500.jpg
ab5f8f6a-b341-45b0-9e4a-a4c5d047e6b9,2019-12-05T10:06:06.200Z,2019-12-05T12:02:46.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.500698,9.173993,9,5038588,513593,32T,Width of sidewalk,4.4,,ab5f8f6a-b341-45b0-9e4a-a4c5d047e6b9_1575540362.jpg
51ede4f9-e377-461d-9eb6-8bf225b7835a,2019-12-05T10:03:43.188Z,2019-12-05T12:02:45.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.500845,9.174443,15,5038605,513628,32T,Width of sidewalk,1.4,,
db86b5a6-84ad-480e-8e69-55b79d1fe9ea,2019-12-05T10:01:50.922Z,2019-12-05T12:02:43.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.500485,9.174827,15,5038565,513658,32T,Width of sidewalk,1.5,,db86b5a6-84ad-480e-8e69-55b79d1fe9ea_1575540107.jpg
cf8491a8-b03f-4f68-818e-0805e719789b,2019-12-05T09:56:00.597Z,2019-12-05T12:02:42.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.50092,9.175292,14,5038613,513694,32T,Width of sidewalk,1.46,,cf8491a8-b03f-4f68-818e-0805e719789b_1575539757.jpg
f1bd77c6-a718-4eef-abcd-d84f92878707,2019-12-05T09:51:50.209Z,2019-12-05T12:02:40.000Z,sahargholamo90@gmail.com,On-street parking,45.501019,9.175478,22,5038624,513709,32T,On-street parking,2.05,,f1bd77c6-a718-4eef-abcd-d84f92878707_1575539507.jpg
21183c3c-d7c8-4fcc-b032-a7a7b891396b,2019-12-05T09:51:03.712Z,2019-12-05T12:02:39.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.501072,9.175579,12,5038630,513717,32T,Width of sidewalk,1.52,,
11b24d3d-b28c-4d9a-bf41-bbb2497484b0,2019-12-05T09:49:19.336Z,2019-12-05T12:02:38.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.50136,9.175679,31,5038662,513724,32T,Width of sidewalk,1.17,,11b24d3d-b28c-4d9a-bf41-bbb2497484b0_1575539355.jpg
881a6af9-1eb5-4185-8bbe-d5a4fa117d1f,2019-12-05T09:45:08.619Z,2019-12-05T12:02:36.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.501466,9.17783,12,5038674,513892,32T,Width of sidewalk,1.5,,881a6af9-1eb5-4185-8bbe-d5a4fa117d1f_1575539104.jpg
bb196446-f642-4f40-b93e-24c8dbdde5f8,2019-12-05T09:34:59.622Z,2019-12-05T12:02:35.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.500695,9.178169,9,5038589,513919,32T,Width of sidewalk,2.36,,
53698839-fd03-4a50-a92c-543068d9fa32,2019-12-05T09:34:19.132Z,2019-12-05T12:02:33.000Z,sahargholamo90@gmail.com,Buffer,45.500565,9.178207,11,5038574,513922,32T,Buffer,2.04,,53698839-fd03-4a50-a92c-543068d9fa32_1575538448.jpg
9d73b35f-ca3f-4195-bdb8-3245c99bc595,2019-12-05T09:27:48.856Z,2019-12-05T12:02:32.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.498883,9.178512,22,5038387,513946,32T,Width of sidewalk,2.57,,
c63c7910-dc88-47a4-a4f3-8eba2a21eac1,2019-12-05T09:27:06.515Z,2019-12-05T12:02:31.000Z,sahargholamo90@gmail.com,On-street parking,45.499663,9.178388,24,5038474,513936,32T,On-street parking,1.97,,c63c7910-dc88-47a4-a4f3-8eba2a21eac1_1575538022.jpg
fef1b5da-b5df-436c-ab7d-84faceed082c,2019-12-05T09:21:54.551Z,2019-12-05T12:02:29.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.498501,9.178397,7,5038345,513937,32T,Width of sidewalk,4.8,Full,fef1b5da-b5df-436c-ab7d-84faceed082c_1575537709.jpg
365fc53b-c686-4289-abbf-fa9c2bc25d27,2019-12-05T09:19:38.322Z,2019-12-05T12:02:28.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.498441,9.178417,15,5038338,513939,32T,Width of sidewalk,5.24,,365fc53b-c686-4289-abbf-fa9c2bc25d27_1575537573.jpg
013195f2-2d92-45dc-ab73-dd3a9e9d70f1,2019-12-05T09:15:50.069Z,2019-12-05T12:02:27.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.497761,9.17851,15,5038263,513946,32T,Width of sidewalk,2.46,,
99f795c3-9e8b-455d-9a97-b860eea738d2,2019-12-05T09:15:19.073Z,2019-12-05T12:02:25.000Z,sahargholamo90@gmail.com,On-street parking,45.497807,9.178481,20,5038268,513944,32T,On-street parking,2.1,Half full,99f795c3-9e8b-455d-9a97-b860eea738d2_1575537310.jpg
94c830ba-af9b-4135-ab19-91c79ef8c9b6,2019-12-05T09:04:33.791Z,2019-12-05T12:02:22.000Z,sahargholamo90@gmail.com,Buffer,45.497473,9.1797,20,5038231,514040,32T,Buffer,2.04,Discontinious,94c830ba-af9b-4135-ab19-91c79ef8c9b6_1575536667.jpg
925ad892-1d6e-42f0-864f-b035fbe9dde2,2019-12-05T09:02:41.524Z,2019-12-05T12:02:24.000Z,sahargholamo90@gmail.com,Width of sidewalk,45.497137,9.178723,13,5038193,513963,32T,Width of sidewalk,4.6,This segment includes shoulder and bollards,925ad892-1d6e-42f0-864f-b035fbe9dde2_1575536528.jpg
