ec5_uuid,created_at,uploaded_at,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
897ce612-cd0f-4fe9-88e8-fce92daff442,2019-12-16T15:38:25.008Z,2019-12-16T15:40:02.000Z,"Curb ramps",45.517426,9.191441,6,5040450,514952,32T,"Curb ramps",2,,
2c98a7db-b344-4e3d-ae75-cdad93fe919c,2019-12-16T15:37:55.803Z,2019-12-16T15:40:00.000Z,"Curb ramps",45.517254,9.191365,6,5040431,514946,32T,"Curb ramps",2,,
4a4a590c-6c38-41d1-9e15-85be1b4aceb0,2019-12-16T15:37:09.203Z,2019-12-16T15:40:43.000Z,Lighting,45.517334,9.191636,5,5040440,514967,32T,Lighting,3,,
b2a8ba6a-6771-447f-a2b3-96763c6f38eb,2019-12-16T15:36:25.624Z,2019-12-16T15:39:59.000Z,"Width of sidewalk",45.517239,9.191422,5,5040429,514950,32T,"Width of sidewalk",1,,
661a1254-a932-4b34-bdd7-767b87ad287d,2019-12-16T15:34:42.151Z,2019-12-16T15:40:42.000Z,Lighting,45.517041,9.190658,6,5040407,514891,32T,Lighting,9,,
1aa1661d-4a92-4987-ae6b-fe29b264d660,2019-12-16T15:33:45.803Z,2019-12-16T15:40:40.000Z,"On-street parking",45.517104,9.190829,4,5040414,514904,32T,"On-street parking",1,,
4dc71002-9287-480b-86ca-fee5ff2bb223,2019-12-16T15:33:17.718Z,2019-12-16T15:40:39.000Z,"Width of sidewalk",45.517009,9.190767,5,5040403,514899,32T,"Width of sidewalk",1,,
0f7fb400-1012-4c3b-b194-083d759c6386,2019-12-16T15:32:50.773Z,2019-12-16T15:39:57.000Z,"Curb ramps",45.517202,9.191184,5,5040425,514932,32T,"Curb ramps",2,,
17fe594d-0acf-4fd5-aec3-e263a9fe69c6,2019-12-16T15:32:17.120Z,2019-12-16T15:39:56.000Z,Lighting,45.517015,9.191015,5,5040404,514918,32T,Lighting,4,,
30b5f833-43ea-4256-be33-eeace30b742d,2019-12-16T15:32:09.652Z,2019-12-16T15:32:26.000Z,"Curb ramps",45.517053,9.191038,4,5040408,514920,32T,"Curb ramps",1,,
7508617b-e0f8-4cc4-8037-c77beca83d9f,2019-12-16T15:30:55.340Z,2019-12-16T15:39:54.000Z,"On-street parking",45.516743,9.190875,4,5040374,514908,32T,"On-street parking",0,,
8dae20be-e9a3-4865-897b-6d68c0d3ea4d,2019-12-16T15:29:21.492Z,2019-12-16T15:32:25.000Z,"On-street parking",45.516488,9.190517,6,5040345,514880,32T,"On-street parking",1,,
e4818b7d-7b0e-4c1f-9338-1dd2a38a37f7,2019-12-16T15:28:59.958Z,2019-12-16T15:32:23.000Z,Lighting,45.516467,9.1905,5,5040343,514878,32T,Lighting,7,,
6a645411-e692-4658-b1b6-1efa7746dcb1,2019-12-16T15:28:32.131Z,2019-12-16T15:32:22.000Z,"Width of sidewalk",45.516505,9.19063,8,5040347,514888,32T,"Width of sidewalk",2.5,,
755876ee-cf6c-491a-9f1d-3ea089579968,2019-12-16T15:27:58.106Z,2019-12-16T15:32:21.000Z,"Width of sidewalk",45.516459,9.190979,5,5040342,514916,32T,"Width of sidewalk",4.5,,
559c469f-8f3b-47f8-970a-b9b1a9878b75,2019-12-16T15:27:15.132Z,2019-12-16T15:32:19.000Z,"Curb ramps",45.516488,9.190924,3,5040346,514911,32T,"Curb ramps",2,,
ecfcf5db-4e7e-4f9b-bf52-cb72c900b356,2019-12-16T15:27:05.656Z,2019-12-16T15:39:53.000Z,"Curb ramps",45.516341,9.19097,7,5040329,514915,32T,"Curb ramps",2,,
6558496f-52df-4df6-b058-7511cb817807,2019-12-16T15:25:51.320Z,2019-12-16T15:39:52.000Z,"Width of sidewalk",45.516077,9.191209,5,5040300,514934,32T,"Width of sidewalk",4.5,,
c434679a-c135-471d-af19-20f08e868507,2019-12-16T15:20:36.729Z,2019-12-16T15:20:56.000Z,Lighting,45.515696,9.192335,5,5040258,515022,32T,Lighting,4,,
4e7c46cc-f7f2-401d-b7d0-5bb9b5f4101e,2019-12-16T15:20:02.168Z,2019-12-16T15:32:18.000Z,"Width of sidewalk",45.515665,9.192172,6,5040254,515009,32T,"Width of sidewalk",2,,
0348ab3b-8661-4cca-84a7-43ee84e92414,2019-12-16T15:18:32.478Z,2019-12-16T15:32:17.000Z,Buffer,45.516176,9.192353,8,5040311,515023,32T,Buffer,10,,
3aa4fc96-cd03-4cab-84cd-c5ed7f667b68,2019-12-16T15:18:18.922Z,2019-12-16T15:20:55.000Z,"Width of sidewalk",45.516234,9.191895,7,5040317,514987,32T,"Width of sidewalk",1,,
9e38dbf3-d022-4d36-83ff-d6de75ee41fe,2019-12-16T15:15:09.996Z,2019-12-16T15:16:12.000Z,Lighting,45.517142,9.191379,4,5040418,514947,32T,Lighting,1,,
83d681de-252b-481f-8635-4fe0799eebfa,2019-12-16T15:14:40.549Z,2019-12-16T15:16:11.000Z,"Width of sidewalk",45.517213,9.191421,5,5040426,514950,32T,"Width of sidewalk",70,,
330b1dc3-9627-4cd9-99dd-e374b99b8efe,2019-12-16T15:14:06.421Z,2019-12-16T15:20:53.000Z,Lighting,45.51751,9.191639,9,5040459,514967,32T,Lighting,6,,
094ba1e8-9bd4-4d01-b14d-143637059424,2019-12-16T15:13:19.857Z,2019-12-16T15:16:10.000Z,"Width of sidewalk",45.517453,9.191541,6,5040453,514959,32T,"Width of sidewalk",1.2,,
